Nombre completo,Edad,Sexo,Ocupación,Nivel de estudios
López Obrador Ana María,45,Femenino,Abogada,Doctorado
Hernández Sánchez Sofía,52,Femenino,Jueza,Doctorado
García Martínez Valentina,48,Femenino,Magistrada,Doctorado
Rodríguez Pérez Gabriela,55,Femenino,Abogada,Doctorado
Fernández González Alejandra,50,Femenino,Jueza,Doctorado
Díaz Ramírez Mariana,47,Femenino,Magistrada,Doctorado
Sánchez Torres Camila,53,Femenino,Abogada,Doctorado
Martínez López Regina,49,Femenino,Fiscal,Doctorado
González Díaz Valeria,51,Femenino,Abogada,Doctorado
Pérez Morales Isabella,46,Femenino,Jueza,Doctorado
Torres García Victoria,54,Femenino,Magistrada,Doctorado
Ramírez Martínez Ximena,48,Femenino,Abogada,Maestría
Morales Sánchez Natalia,52,Femenino,Jueza,Doctorado
López Hernández Daniela,47,Femenino,Magistrada,Doctorado
García Rodríguez Elena,55,Femenino,Fiscal,Doctorado
Hernández Fernández Adriana,49,Femenino,Abogada,Doctorado
Rodríguez Díaz Paula,51,Femenino,Jueza,Doctorado
Fernández Sánchez Fernanda,46,Femenino,Magistrada,Doctorado
Díaz García Claudia,54,Femenino,Abogada,Doctorado
Sánchez Pérez Carolina,48,Femenino,Jueza,Doctorado
Martínez Torres Constanza,52,Femenino,Magistrada,Doctorado
González Ramírez Magdalena,47,Femenino,Fiscal,Doctorado
Pérez Morales Estela,55,Femenino,Abogada,Doctorado
Torres García Renata,49,Femenino,Jueza,Doctorado
Ramírez Martínez Helena,51,Femenino,Magistrada,Doctorado
Morales Sánchez Diana,46,Femenino,Abogada,Doctorado
López Hernández Alexandra,54,Femenino,Jueza,Doctorado
García Rodríguez Luisa,48,Femenino,Magistrada,Doctorado
Hernández Fernández Mónica,52,Femenino,Fiscal,Doctorado
Rodríguez Díaz Julia,47,Femenino,Abogada,Doctorado
Peña Nieto Enrique,58,Masculino,Abogado,Maestría
Calderón Hinojosa Felipe,62,Masculino,Juez,Doctorado
Fox Quesada Vicente,65,Masculino,Magistrado,Licenciatura
Zedillo Ponce León Ernesto,72,Masculino,Abogado,Doctorado
Salinas de Gortari Carlos,75,Masculino,Jurista,Doctorado
Madrid Hurtado Miguel,84,Masculino,Magistrado,Doctorado
López Portillo José,48,Masculino,Político,Licenciatura
De la Madrid Hurtado Miguel,48,Masculino,Abogado,Doctorado
Echeverría Álvarez Luis,48,Masculino,Jurista,Licenciatura
Díaz Ordaz Gustavo,57,Masculino,Abogado,Licenciatura
López Mateos Adolfo,57,Masculino,Político,Licenciatura
Ruiz Cortines Adolfo,52,Masculino,Abogado,Licenciatura
Alemán Valdés Miguel,58,Masculino,Jurista,Licenciatura
Ávila Camacho Manuel,54,Masculino,Militar,Bachillerato
Cárdenas Solórzano Cuauhtémoc,88,Masculino,Político,Doctorado
Anaya Cortés Ricardo,45,Masculino,Abogado,Doctorado
Meade Kuribreña José Antonio,55,Masculino,Economista,Doctorado
Gómez González Andrés,60,Masculino,Magistrado,Doctorado
Vargas Llosa Mario,88,Masculino,Escritor,Doctorado
García Márquez Jorge,42,Masculino,Juez,Maestría
